Name,Gender,DOB,HBDApproved,Child,Cat,DogOther,Active,Calm,FoodMo,Intelligent,Outgoing,Holdingshel,Address,ImageLink
Kopi,M,1-Feb-2024,Y,,,,,,N,,Y,SCPA,https://spca.org.sg/animal/kopi/,https://spca.org.sg/wp-content/uploads/2024/08/IMG-20240829-WA0033.jpg
Lancelot,M,1-May-2019,Y,,,,,,N,,,SPCA,https://spca.org.sg/animal/lancelot/,https://spca.org.sg/wp-content/uploads/2024/08/IMG-20240819-WA0050.jpg
Macho,M,1-Apr-2018,N,,,,Y,,Y,,,SPCA,https://spca.org.sg/animal/macho/,https://spca.org.sg/wp-content/uploads/2022/12/Macho_1.jpg
Nana,F,1-Mar-2018,Y,,,,,,N,,,SPCA,https://spca.org.sg/animal/nana/,https://spca.org.sg/wp-content/uploads/2024/03/WhatsApp-Image-2024-03-05-at-16.24.28_a1451cf2.jpg
Niko,M,1-Aug-2023,Y,,,,,,N,,,SPCA,https://spca.org.sg/animal/niko/,https://spca.org.sg/wp-content/uploads/2023/11/WhatsApp-Image-2023-11-10-at-18.47.00_b2ac09d8.jpg
Orbsie,F,1-Dec-2023,Y,,,,,,N,,,SPCA,https://spca.org.sg/animal/orbsie/,https://spca.org.sg/wp-content/uploads/2024/06/photo_6264517226841358477_y.jpg
Pancake,M,1-Mar-2012,N,,,Y,,,Y,Y,Y,SPCA,https://spca.org.sg/animal/pancake/,https://spca.org.sg/wp-content/uploads/2022/12/Pancake_1.jpg
Peanut,M,1-Feb-2015,N,,,,,Y,N,,,SPCA,https://spca.org.sg/animal/peanut/,https://spca.org.sg/wp-content/uploads/2022/12/Peanut_1.jpg
Pickles,M,1-Dec-2022,Y,,,Y,,,N,,,SPCA,https://spca.org.sg/animal/pickles/,https://spca.org.sg/wp-content/uploads/2023/12/20.jpg
Rocky,M,1-Jul-2014,Y,N,,N,,Y,N,,Y,SPCA,https://spca.org.sg/animal/rocky-2/,https://spca.org.sg/wp-content/uploads/2023/05/DSF1292jpeg-scaled.jpg
Rogue,M,1-Feb-2017,Y,,,,Y,,N,,,SPCA,https://spca.org.sg/animal/rogue/,https://spca.org.sg/wp-content/uploads/2024/07/IMG-20240717-WA0019.jpg
Scooby,M,1-Jun-2021,N,,,,Y,,Y,,,SPCA,https://spca.org.sg/animal/scooby-2/,https://spca.org.sg/wp-content/uploads/2024/06/IMG-20240527-WA0039.jpg
Spike,M,1-Jul-2015,N,,,,,,N,,,SPCA,https://spca.org.sg/animal/spike/,https://spca.org.sg/wp-content/uploads/2022/12/Spike_1.jpg
Sweenie,F,1-Jul-2019,Y,,,,,,N,,,SPCA,https://spca.org.sg/animal/sweenie/,https://spca.org.sg/wp-content/uploads/2024/07/IMG-20240708-WA0025.jpg
Timmy,M,1-Aug-2020,Y,,,,,,N,,,SPCA,https://spca.org.sg/animal/timmy-2/,https://spca.org.sg/wp-content/uploads/2023/09/IMG-20230912-WA0022.jpg
Tita,F,1-Aug-2020,N,,,,,,N,,,SPCA,https://spca.org.sg/animal/tita/,https://spca.org.sg/wp-content/uploads/2022/12/Tita_1.jpg
Toast,M,1-Feb-2024,Y,,,,,,N,,Y,SPCA,https://spca.org.sg/animal/toast/,https://spca.org.sg/wp-content/uploads/2024/08/IMG-20240829-WA0040.jpg
Tracy,F,1-Jun-2021,Y,,,,,,N,,N,SPCA,https://spca.org.sg/animal/tracy-2/,https://spca.org.sg/wp-content/uploads/2024/06/IMG-20240612-WA0046.jpg
