Name,Gender,DOB,HBDApproved,Child,Cat,DogOther,Active,Calm,FoodMo,Intelligent,Outgoing,Holdingshel,Address,ImageLink
Marley,M,1-Mar-2017,N,,,,Y,,Y,,Y,ASD,https://asdsingapore.com/adopt/marley,https://asdsingapore.com/assets/images/adopts/marley-20230125183048.jpg
Louie,M,1-Nov-2013,N,,,,,,N,,,ASD,https://asdsingapore.com/adopt/louie,https://asdsingapore.com/assets/images/adopts/louie-20220327145152.jpg
Fin,M,1-Jun-2017,N,,,,Y,,N,,Y,ASD,https://asdsingapore.com/adopt/fin,https://asdsingapore.com/assets/images/adopts/fin-20220327150217.jpg
Apache,M,1-Apr-2020,N,,,Y,,,N,,Y,ASD,https://asdsingapore.com/adopt/apache,https://asdsingapore.com/assets/images/adopts/apache-20231008155956.jpeg
Gonzo,M,1-Jun-2019,N,Y,,Y,,Y,Y,,,ASD,https://asdsingapore.com/adopt/gonzo,https://asdsingapore.com/assets/images/adopts/gonzo-20230125173427.jpg
Bruno,M,1-Jan-2010,N,,,,,Y,N,,Y,ASD,https://asdsingapore.com/adopt/bruno,https://asdsingapore.com/assets/images/adopts/bruno-20220327150511.jpg
Jasper,M,1-Oct-2015,Y,,,,,,N,Y,,ASD,https://asdsingapore.com/adopt/jasper,https://asdsingapore.com/assets/images/adopts/jasper-20220327153528.jpg
Jojo,F,1-Oct-2018,Y,Y,Y,Y,,Y,Y,,Y,ASD,https://asdsingapore.com/adopt/jojo,https://asdsingapore.com/assets/images/adopts/jojo-20231008161851.jpg
Fries,F,1-Sep-2022,Y,,,,Y,,Y,,,ASD,https://asdsingapore.com/adopt/fries,https://asdsingapore.com/assets/images/adopts/fries-20230223122358.jpeg
Sake,F,1-Aug-2020,Y,,,Y,,,N,,Y,ASD,https://asdsingapore.com/adopt/sake,https://asdsingapore.com/assets/images/adopts/sake-20220327155458.jpg
Akita,F,1-Sep-2017,Y,,,,,,N,,Y,ASD,https://asdsingapore.com/adopt/akita,https://asdsingapore.com/assets/images/adopts/akita-20220119190850.jpg
Christoff,M,1-Jan-2019,Y,,,,,,Y,,,ASD,https://asdsingapore.com/adopt/christoff,https://asdsingapore.com/assets/images/adopts/christoff-20230410220220.jpg
Wuba,M,1-Sep-2019,Y,N,,Y,,,N,,,ASD,https://asdsingapore.com/adopt/wuba,https://asdsingapore.com/assets/images/adopts/wuba-20220119191103.jpg
Aimee ,F,1-Jan-2014,Y,,,,Y,,N,,,ASD,https://asdsingapore.com/adopt/aimee,https://asdsingapore.com/assets/images/adopts/aimee-20220119090253.jpg
Bheen,M,1-Jan-2012,Y,N,,,,,N,,Y,ASD,https://asdsingapore.com/adopt/bheen,https://asdsingapore.com/assets/images/adopts/bheen-20220119084629.jpg
Tarzan,M,1-Mar-2022,Y,,,Y,Y,,Y,,,ASD,https://asdsingapore.com/adopt/tarzan,https://asdsingapore.com/assets/images/adopts/tarzan-20230103112157.jpg
Bebe,F,1-Jan-2012,Y,,,Y,,,N,,,ASD,https://asdsingapore.com/adopt/bebe,https://asdsingapore.com/assets/images/adopts/bebe-20220119192510.jpg
Bacon,M,1-Nov-2023,Y,,,Y,,Y,Y,,N,ASD,https://asdsingapore.com/adopt/bacon,https://asdsingapore.com/assets/images/adopts/bacon-20240603164825.jpg
Karen,F,1-Jan-2012,N,,,Y,,,N,,Y,ASD,https://asdsingapore.com/adopt/karen,https://asdsingapore.com/assets/images/adopts/karen-20220402174823.jpg
Lucy,F,1-Mar-2014,N,,,,Y,,N,,,ASD,https://asdsingapore.com/adopt/lucy,https://asdsingapore.com/assets/images/adopts/lucy-20220327153232.jpg
Bobbi,F,1-Jan-2012,Y,,,,,,N,,Y,ASD,https://asdsingapore.com/adopt/bobbi,https://asdsingapore.com/assets/images/adopts/bobbi-20220327150421.jpg
Tobias,M,1-Feb-2019,N,Y,,Y,,,N,,,ASD,https://asdsingapore.com/adopt/tobias,https://asdsingapore.com/assets/images/adopts/tobias-20190703113104.jpg
Russet,M,1-Nov-2022,Y,,,,Y,,Y,,Y,ASD,https://asdsingapore.com/adopt/russet,https://asdsingapore.com/assets/images/adopts/russet-20230501105008.jpg
Selaphiel,M,1-Dec-2020,Y,N,,,,Y,N,,Y,ASD,https://asdsingapore.com/adopt/selaphiel,https://asdsingapore.com/assets/images/adopts/selaphiel-20231008155617.jpeg
Elly,F,1-Feb-2014,N,,,,,,N,,,ASD,https://asdsingapore.com/adopt/elly,https://asdsingapore.com/assets/images/adopts/elly-20220327155944.jpg
Sakae,M,1-Mar-2016,Y,,,,,,N,,,ASD,https://asdsingapore.com/adopt/sakae,https://asdsingapore.com/assets/images/adopts/sakae-20220327160017.jpg
Lucky B,M,1-Jun-2014,N,,,Y,Y,,N,,Y,ASD,https://asdsingapore.com/adopt/lucky-b,https://asdsingapore.com/assets/images/adopts/lucky-b-20220327145734.jpg
Clovis,M,1-Feb-2016,Y,,,,,,N,,,ASD,https://asdsingapore.com/adopt/clovis,https://asdsingapore.com/assets/images/adopts/clovis-20220119085943.jpg
Ursus,M,1-Jan-2020,N,,,,Y,Y,Y,,Y,ASD,https://asdsingapore.com/adopt/ursus,https://asdsingapore.com/assets/images/adopts/ursus-20220610121339.png
Siew Mai,F,1-Jul-2008,Y,,,,,Y,N,,Y,ASD,https://asdsingapore.com/adopt/siew-mai,https://asdsingapore.com/assets/images/adopts/siew-mai-20220327160216.jpg
Abby,F,1-Jan-2019,Y,,,,,,N,,,SOSD,https://sosd.org.sg/wpcproduct/abby/?form=adopt,https://sosd.org.sg/wp-content/uploads/2024/05/Abby-e1716517925982.jpg
Alistaire,M,23-Mar-2016,N,,,,,,N,,,SOSD,https://sosd.org.sg/wpcproduct/alistaire/?form=adopt,https://sosd.org.sg/wp-content/uploads/2024/04/Alistaire-e1713250841328.jpg
Amber,F,1-Jan-2019,Y,,,,,,N,,,SOSD,https://sosd.org.sg/wpcproduct/amber/?form=adopt,https://sosd.org.sg/wp-content/uploads/2024/05/Amber-e1716517870256.jpg
